timestamp,cfg_id,backtest_variant,cost_variant,n_trades,win_rate,avg_winner_bps,avg_loser_bps,total_return_pct,sharpe_daily,max_drawdown_pct
2026-05-13T15:28:44.179746+00:00,A2_tgt05_stp03_h60_slip5,top1_T0,cost_inst,621,0.3849,3.77,-3.18,-0.0314,-0.679,0.0374
2026-05-13T15:28:50.985464+00:00,A1_tgt05_stp03_h60_close,top1_T0,cost_inst,621,0.3768,3.61,-3.18,-0.0384,-0.778,0.0450
2026-05-13T15:31:39.335525+00:00,A2_tgt05_stp03_h60_slip5,top1_T0,cost_retail,621,0.3333,2.84,-4.28,-0.1184,-2.557,0.1182
2026-05-13T15:31:52.768151+00:00,A1_tgt05_stp03_h60_close,top1_T0,cost_retail,621,0.3205,2.74,-4.26,-0.1253,-2.540,0.1264
2026-05-13T15:34:35.535933+00:00,A2_tgt05_stp03_h60_slip5,top1_T0.20,cost_inst,621,0.3849,3.77,-3.18,-0.0314,-0.679,0.0374
2026-05-13T15:34:51.532224+00:00,A1_tgt05_stp03_h60_close,top1_T0.20,cost_inst,621,0.3768,3.61,-3.18,-0.0384,-0.778,0.0450
2026-05-13T15:37:32.182202+00:00,A2_tgt05_stp03_h60_slip5,top1_T0.20,cost_retail,621,0.3333,2.84,-4.28,-0.1184,-2.557,0.1182
2026-05-13T15:37:50.901152+00:00,A1_tgt05_stp03_h60_close,top1_T0.20,cost_retail,621,0.3205,2.74,-4.26,-0.1253,-2.540,0.1264
2026-05-13T15:39:35.013791+00:00,A2_tgt05_stp03_h60_slip5,top1_T0.25,cost_inst,0,0.0000,0.00,0.00,0.0000,0.000,0.0000
2026-05-13T15:39:56.291856+00:00,A1_tgt05_stp03_h60_close,top1_T0.25,cost_inst,0,0.0000,0.00,0.00,0.0000,0.000,0.0000
2026-05-13T15:41:37.408460+00:00,A2_tgt05_stp03_h60_slip5,top1_T0.25,cost_retail,0,0.0000,0.00,0.00,0.0000,0.000,0.0000
2026-05-13T15:41:59.550818+00:00,A1_tgt05_stp03_h60_close,top1_T0.25,cost_retail,0,0.0000,0.00,0.00,0.0000,0.000,0.0000
2026-05-13T15:44:37.047525+00:00,A1_tgt05_stp03_h60_close,top1_T0,cost_inst,621,0.3768,3.61,-3.18,-0.0384,-0.778,0.0450
2026-05-13T15:44:37.047749+00:00,A1_tgt05_stp03_h60_close,top1_T0,cost_retail,621,0.3205,2.74,-4.26,-0.1253,-2.540,0.1264
2026-05-13T15:44:37.047915+00:00,A1_tgt05_stp03_h60_close,top1_T0.20,cost_inst,621,0.3768,3.61,-3.18,-0.0384,-0.778,0.0450
2026-05-13T15:44:37.048056+00:00,A1_tgt05_stp03_h60_close,top1_T0.20,cost_retail,621,0.3205,2.74,-4.26,-0.1253,-2.540,0.1264
2026-05-13T15:44:37.048188+00:00,A1_tgt05_stp03_h60_close,top1_T0.25,cost_inst,0,0.0000,0.00,0.00,0.0000,0.000,0.0000
2026-05-13T15:44:37.048319+00:00,A1_tgt05_stp03_h60_close,top1_T0.25,cost_retail,0,0.0000,0.00,0.00,0.0000,0.000,0.0000
2026-05-13T15:44:45.051160+00:00,A2_tgt05_stp03_h60_slip5,top1_T0,cost_inst,621,0.3849,3.77,-3.18,-0.0314,-0.679,0.0374
2026-05-13T15:44:45.051370+00:00,A2_tgt05_stp03_h60_slip5,top1_T0,cost_retail,621,0.3333,2.84,-4.28,-0.1184,-2.557,0.1182
2026-05-13T15:44:45.051523+00:00,A2_tgt05_stp03_h60_slip5,top1_T0.20,cost_inst,621,0.3849,3.77,-3.18,-0.0314,-0.679,0.0374
2026-05-13T15:44:45.051661+00:00,A2_tgt05_stp03_h60_slip5,top1_T0.20,cost_retail,621,0.3333,2.84,-4.28,-0.1184,-2.557,0.1182
2026-05-13T15:44:45.051808+00:00,A2_tgt05_stp03_h60_slip5,top1_T0.25,cost_inst,0,0.0000,0.00,0.00,0.0000,0.000,0.0000
2026-05-13T15:44:45.051937+00:00,A2_tgt05_stp03_h60_slip5,top1_T0.25,cost_retail,0,0.0000,0.00,0.00,0.0000,0.000,0.0000
2026-05-13T15:48:06.427556+00:00,A1_tgt05_stp03_h60_close,top3,cost_inst,1863,0.3747,3.70,-3.22,-0.1170,-1.338,0.1281
2026-05-13T15:48:08.327481+00:00,A2_tgt05_stp03_h60_slip5,top3,cost_inst,1863,0.3892,3.81,-3.20,-0.0881,-0.700,0.1086
2026-05-13T15:48:39.937173+00:00,A1_tgt05_stp03_h60_close,top1_T0,cost_inst,621,0.3768,3.61,-3.18,-0.0384,-0.778,0.0450
2026-05-13T15:48:39.937376+00:00,A1_tgt05_stp03_h60_close,top1_T0,cost_retail,621,0.3205,2.74,-4.26,-0.1253,-2.540,0.1264
2026-05-13T15:48:39.937528+00:00,A1_tgt05_stp03_h60_close,top1_T0.20,cost_inst,621,0.3768,3.61,-3.18,-0.0384,-0.778,0.0450
2026-05-13T15:48:39.937662+00:00,A1_tgt05_stp03_h60_close,top1_T0.20,cost_retail,621,0.3205,2.74,-4.26,-0.1253,-2.540,0.1264
2026-05-13T15:48:39.937805+00:00,A1_tgt05_stp03_h60_close,top1_T0.25,cost_inst,0,0.0000,0.00,0.00,0.0000,0.000,0.0000
2026-05-13T15:48:39.937935+00:00,A1_tgt05_stp03_h60_close,top1_T0.25,cost_retail,0,0.0000,0.00,0.00,0.0000,0.000,0.0000
2026-05-13T15:48:39.938066+00:00,A1_tgt05_stp03_h60_close,top3,cost_inst,1863,0.3747,3.70,-3.22,-0.1170,-1.338,0.1281
2026-05-13T15:48:45.937453+00:00,A2_tgt05_stp03_h60_slip5,top1_T0,cost_inst,621,0.3849,3.77,-3.18,-0.0314,-0.679,0.0374
2026-05-13T15:48:45.937666+00:00,A2_tgt05_stp03_h60_slip5,top1_T0,cost_retail,621,0.3333,2.84,-4.28,-0.1184,-2.557,0.1182
2026-05-13T15:48:45.937848+00:00,A2_tgt05_stp03_h60_slip5,top1_T0.20,cost_inst,621,0.3849,3.77,-3.18,-0.0314,-0.679,0.0374
2026-05-13T15:48:45.937993+00:00,A2_tgt05_stp03_h60_slip5,top1_T0.20,cost_retail,621,0.3333,2.84,-4.28,-0.1184,-2.557,0.1182
2026-05-13T15:48:45.938128+00:00,A2_tgt05_stp03_h60_slip5,top1_T0.25,cost_inst,0,0.0000,0.00,0.00,0.0000,0.000,0.0000
2026-05-13T15:48:45.938266+00:00,A2_tgt05_stp03_h60_slip5,top1_T0.25,cost_retail,0,0.0000,0.00,0.00,0.0000,0.000,0.0000
2026-05-13T15:48:45.938408+00:00,A2_tgt05_stp03_h60_slip5,top3,cost_inst,1863,0.3892,3.81,-3.20,-0.0881,-0.700,0.1086
